"spec	type",type
quercus1,quercus nigra
quercus2,quercus nigra
quercus3,quercus nigra
quercus4,quercus nigra
quercus5,quercus nigra
quercus6,quercus nigra
quercus7,quercus nigra
quercus8,quercus nigra
quercus9,quercus nigra
quercus10,quercus nigra
quercus11,quercus nigra
quercus12,quercus nigra
quercus13,quercus nigra
quercus14,quercus nigra
quercus15,quercus nigra
quercus16,quercus nigra
16wc5_dawson-30,gary
16wc5_dawson-31,gary
16wc5_dawson-32,gary
16wc5_dawson-34,gary
16wc5_dawson-35,gary
16wc5_dawson-36,gary
16wc5_dawson-37,gary
16wc5_dawson-39,gary
16wc5_dawson-40,gary
16wc5_DS_35,gary
16wc5_plunkett.1,gary
16wc5_plunkett.2,gary
16wc5_proj.1.15.site1,gary
16wc5_proj.1.15.site2,gary
16wc5_qhg,gary
chapman,gary
489,perdiz
490,perdiz
553,perdiz
554,perdiz
555,perdiz
556,perdiz
558,perdiz
559,perdiz
562,perdiz
565,perdiz
591,perdiz
598,perdiz
645,perdiz
646,perdiz
647,perdiz
648,perdiz
649,perdiz
650,perdiz
651,perdiz
652,perdiz
653,perdiz
654,perdiz
655,perdiz
656,perdiz
657,perdiz
658,perdiz
659,perdiz
660,perdiz
661,perdiz
665,perdiz
677,perdiz
678,perdiz
an51-fig26a,perdiz
an51-fig26c,perdiz
an115-fig7,perdiz
cp220-fig11-12a,perdiz
cp495-fig16h,perdiz
cp495-fig16i,perdiz
hc2-fig30a,perdiz
hc2-fig30b,perdiz
hc2-fig30c,perdiz
hc2-fig30d,perdiz
hc2-fig30f,perdiz
hc2-fig30h,perdiz
hc2-fig30i,perdiz
hc2-fig30l,perdiz
hc2-fig30m,perdiz
hc2-fig30n,perdiz
hs15-fig7.1r,perdiz
hs15-fig7.1t,perdiz
hs15-fig7.1u,perdiz
hs15-fig7.1v,perdiz
hs15-fig7.1w,perdiz
hs15-fig7.1x,perdiz
hs15-fig7.2b,perdiz
hs15-fig7.2c,perdiz
hs15-fig7.2d,perdiz
hs15-fig7.2e,perdiz
hs15-fig7.2f,perdiz
hs15-fig7.2g,perdiz
hs15-fig7.2m,perdiz
hs15-fig7.2o,perdiz
hs15-fig7.2q,perdiz
hs15-fig7.2r,perdiz
hs15-fig7.3a,perdiz
hs15-fig7.3aa,perdiz
hs15-fig7.3b,perdiz
hs15-fig7.3bb,perdiz
hs15-fig7.3cc,perdiz
hs15-fig7.3d,perdiz
hs15-fig7.3e,perdiz
hs15-fig7.3f,perdiz
hs15-fig7.3g,perdiz
hs15-fig7.3h,perdiz
hs15-fig7.3i,perdiz
hs15-fig7.3j,perdiz
hs15-fig7.3k,perdiz
hs15-fig7.3l,perdiz
hs15-fig7.3m,perdiz
hs15-fig7.3n,perdiz
hs15-fig7.3o,perdiz
hs15-fig7.3p,perdiz
hs15-fig7.3q,perdiz
hs15-fig7.3r,perdiz
hs15-fig7.3s,perdiz
hs15-fig7.3t,perdiz
hs15-fig7.3u,perdiz
hs15-fig7.3w,perdiz
hs15-fig7.3x,perdiz
hs15-fig7.3y,perdiz
hs15-fig7.3z,perdiz
hs235-fig17,perdiz
hs269-fig12j,perdiz
na206-fig12a,perdiz
na206-fig12b,perdiz
na206-fig12d,perdiz
na206-fig12f,perdiz
na206-fig12g,perdiz
na49-1,perdiz
na49-10,perdiz
na49-11,perdiz
na49-12,perdiz
na49-13,perdiz
na49-137,perdiz
na49-14,perdiz
na49-149,perdiz
na49-176,perdiz
na49-187,perdiz
na49-195,perdiz
na49-2,perdiz
na49-271,perdiz
na49-3,perdiz
na49-33,perdiz
na49-4,perdiz
na49-5,perdiz
na49-587,perdiz
na49-616,perdiz
na49-7,perdiz
na49-734,perdiz
na49-8,perdiz
na49-9,perdiz
sa135-fig15b,perdiz
sa135-fig15c,perdiz
sa135-fig15g,perdiz
sm193-fig1e,perdiz
sm193-fig2a,perdiz
sm193-fig2b,perdiz
sm193-fig2e,perdiz
sm193-fig2f,perdiz
sm193-fig2g,perdiz
sm195-fig8,perdiz
sm442-fig19c,perdiz
sm55-fig23,perdiz
sy280-1,perdiz
sy280-2,perdiz
sy280-3,perdiz
sy43-1,perdiz
sy43-2,perdiz
sy43-3,perdiz
sy43-4,perdiz
sy43-5,perdiz
sy43-6,perdiz
16wc5_dawson-29,gary
16wc5_dawson-28,gary
16wc5_dawson-27,gary
16wc5_dawson-24,gary
16wc5_dawson-23,gary
16wc5_dawson-21,gary
16wc5_dawson-20,gary
16wc5_dawson-19,gary
16wc5_dawson-17,gary
16wc5_dawson-15,gary
16wc5_dawson-14,gary
16wc5_dawson-13,gary
16wc5_dawson-12,gary
16wc5_dawson-11,gary
16wc5_dawson-10,gary
quercus17,quercus nigra
quercus18,quercus nigra
quercus19,quercus nigra
quercus20,quercus nigra
quercus21,quercus nigra
quercus22,quercus nigra
quercus23,quercus nigra
quercus24,quercus nigra
quercus25,quercus nigra
quercus26,quercus nigra
quercus27,quercus nigra
quercus28,quercus nigra
quercus29,quercus nigra
quercus30,quercus nigra
quercus31,quercus nigra
quercus32,quercus nigra
quercus33,quercus nigra
